rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A035720,KR7035720002,카카오,50000,FALL,900,0.0176817289,,False
2,0,A005930,KR7005930003,삼성전자,70100,FALL,1500,0.0209497207,,False
3,5,A001570,KR7001570001,금양,80900,RISE,7300,0.0991847826,,False
4,-1,A086520,KR7086520004,에코프로,954000,RISE,13000,0.0138150903,,False
5,5,A010145,KR7010141000,삼성중공우,87100,RISE,61000,2.337164751,,False
6,0,A001470,KR7001470004,삼부토건,3680,RISE,150,0.0424929178,,True
7,-3,A305720,KR7305720005,KODEX 2차전지산업,28850,RISE,10,0.0003467406,,False
8,0,A034020,KR7034020008,두산에너빌리티,17270,FALL,130,0.0074712644,,True
9,-4,A091160,KR7091160002,KODEX 반도체,31190,FALL,420,0.0132869345,,False
10,0,A232830,KR7232830000,시큐센,6270,RISE,960,0.1807909605,,True
